MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2012-1-1,35,28,21,16,10,1,74,50,31,30.60,30.43,30.27,20,10,10,21,8,23,0.00,1,,316
2012-1-2,53,38,23,19,14,10,69,45,19,30.60,30.46,30.25,20,11,10,8,2,,0.00,1,,230
2012-1-3,59,47,35,16,7,-2,44,19,9,30.39,30.23,30.15,20,12,10,32,9,40,0.00,3,,255
2012-1-4,60,44,28,23,13,-4,60,36,7,30.39,30.35,30.28,20,11,10,16,5,,0.00,2,,218
2012-1-5,66,52,39,19,14,5,42,25,11,30.28,30.12,29.91,10,10,10,21,6,30,0.00,1,,257
2012-1-6,55,42,30,21,15,10,69,36,17,30.09,29.99,29.91,20,10,10,23,11,30,0.00,2,,325
2012-1-7,37,30,24,30,22,18,100,73,48,30.13,30.00,29.90,10,8,1,9,5,,0.00,3,Snow,326
2012-1-8,39,29,19,21,15,10,74,61,31,30.19,30.14,30.10,10,10,10,9,3,,0.00,0,,232
2012-1-9,50,38,26,25,17,10,70,48,28,30.25,30.19,30.13,10,10,10,9,2,,0.00,1,,206
2012-1-10,62,47,32,23,14,-8,65,36,6,30.12,29.96,29.80,20,12,10,29,6,34,0.00,1,,275
2012-1-11,46,26,5,25,12,1,92,67,17,30.13,30.01,29.78,20,7,0,25,16,32,0.00,4,Snow,360
2012-1-12,37,22,6,9,1,-2,85,35,22,30.08,30.05,29.98,10,10,10,28,16,36,0.00,2,,279
2012-1-13,44,36,28,1,-1,-8,29,21,12,30.11,30.03,29.96,20,12,10,38,21,46,0.00,3,,281
2012-1-14,55,46,37,10,2,-6,24,16,10,30.14,30.04,29.92,10,10,10,34,20,51,0.00,2,,273
2012-1-15,57,46,35,9,-1,-13,30,15,5,29.92,29.81,29.69,10,10,10,21,8,30,0.00,2,,252
2012-1-16,44,30,17,21,13,-2,93,59,14,30.00,29.74,29.59,10,8,1,28,10,33,0.00,4,Snow,346
2012-1-17,32,22,12,12,6,-6,93,62,21,30.13,30.03,29.96,20,11,10,12,7,22,0.00,1,,108
2012-1-18,50,36,21,16,7,1,58,33,18,29.97,29.85,29.73,20,11,10,24,7,37,0.00,3,,233
2012-1-19,64,54,44,27,20,14,43,29,18,29.78,29.70,29.57,10,10,10,30,13,53,0.00,2,,342
2012-1-20,53,44,33,21,18,12,56,31,19,29.96,29.77,29.58,20,10,10,39,20,48,0.00,2,,289
2012-1-21,64,46,28,27,20,12,80,45,14,29.89,29.55,29.28,10,10,10,31,6,43,0.00,3,,249
2012-1-22,46,40,33,21,9,-8,39,28,13,29.84,29.55,29.27,10,10,10,46,16,63,0.00,2,,277
2012-1-23,50,41,32,21,7,-2,48,28,16,29.88,29.81,29.78,20,10,10,28,12,33,0.00,2,,314
2012-1-24,35,30,24,30,20,12,93,63,38,30.23,29.99,29.78,20,11,0,14,4,,0.00,5,Snow,325
2012-1-25,60,42,23,21,16,5,80,49,11,30.16,30.06,29.97,20,13,10,36,9,48,0.00,2,,244
2012-1-26,57,49,41,27,14,1,49,29,11,30.12,29.89,29.75,10,10,10,22,13,30,0.00,2,,267
2012-1-27,44,32,19,23,16,3,86,55,24,30.29,30.04,29.79,20,10,1,17,9,26,0.00,2,Fog-Snow,356
2012-1-28,44,32,21,12,-4,-11,68,24,9,30.26,30.18,30.14,10,10,10,44,15,54,0.00,3,,269
2012-1-29,55,48,41,10,3,-9,25,17,12,30.20,30.12,30.03,20,12,10,30,20,37,0.00,2,,263
2012-1-30,62,52,41,10,7,0,29,19,9,30.02,29.90,29.79,20,10,10,29,13,37,0.00,2,,261
2012-1-31,50,42,35,12,10,5,38,28,16,30.08,29.99,29.91,20,12,10,29,14,36,0.00,2,,306
2012-2-1,51,42,33,10,7,-2,38,27,11,30.17,30.09,30.04,20,10,10,29,11,37,0.00,2,,290
2012-2-2,44,37,30,32,15,7,100,51,21,30.06,29.99,29.90,10,7,0,25,9,32,0.00,5,Snow,339
2012-2-3,30,28,26,30,27,25,100,94,86,30.35,30.21,30.06,6,1,0,25,17,30,0.00,8,Snow,343
2012-2-4,30,24,19,27,21,14,100,85,60,30.43,30.38,30.35,15,9,4,12,7,,0.00,6,Snow,325
2012-2-5,32,24,15,19,13,9,80,70,51,30.37,30.27,30.15,20,12,10,9,5,,0.00,1,,277
2012-2-6,33,26,19,25,15,9,93,65,41,30.27,30.14,30.06,20,8,1,16,5,,0.00,4,Snow,326
